,City,Lat,Lng,Hotel Name
12,Mae Chan,20.15,99.85,Rimchan Resort Hotel
53,Bilma,18.69,12.92,
114,Maceió,-9.67,-35.74,Jatiúca Hotel & Resort
124,Salalah,17.02,54.09,HYATT SALALAH HOTEL
137,Naliya,23.27,68.83,Hotel Panchvati
186,Doha,25.29,51.53,La Villa Palace Hotel
196,Hervey Bay,-25.3,152.85,Oaks Hervey Bay Resort and Spa
316,Los Llanos de Aridane,28.66,-17.92,Hotel Hacienda de Abajo
359,Bocaiúva,-17.11,-43.81,Pontual Hotel
379,Dzaoudzi,-12.79,45.27,Oasis hôtel
479,Beira,-19.84,34.84,Beira Terrace Hotel
